Player,PLAYER_ID,Averages 25+ PPG?,Averages 20+ PPG?,Averages 15+ PPG?,Averages 10+ PPG?,Averages 10+ RPG?,Averages 5+ RPG?,Averages 7+ APG?,Averages 4+ APG?,Averages 1.5+ SPG?,Averages 1+ SPG?,Averages 1.5+ BPG?,Averages 1+ BPG?,Averages 3+ 3PM?,Averages 1+ 3PM?,Averages 30+ min per game?,Averages 20+ min per game?,Shoots 50%+ from the field?,Shoots 35%+ from three?,Shoots 80%+ from the line?,Averages 3+ offensive rebounds?,Averages 3+ turnovers?,Played 50+ games this season?,Played 70+ games this season?,Plays in the Eastern Conference?,Plays in the Western Conference?,Plays in the Atlantic Division?,Plays in the Central Division?,Plays in the Southeast Division?,Plays in the Northwest Division?,Plays in the Pacific Division?,Plays in the Southwest Division?,Is his jersey number less than 10?,Is his jersey number between 10 and 19?,Is his jersey number between 20 and 29?,Is his jersey number 30 or higher?,Is his jersey number an odd number?,Is he from the United States?,Is he from Europe?,Is he from Africa?,Is he from Canada?,Is he from Australia?,Is he from South America?,Did he play college basketball?,MPG,Is he 25 or younger?,Is he 30 or older?,Is he 6-8 or taller?,Is he 7 feet or taller?,Was he a first-round pick?,Was he a lottery pick (top 14)?,Was he undrafted?,Averages 5+ APG?,Averages 8+ RPG?,Shoots 40%+ from three?,Does his last name start with A-M?,Does his first name start with A-M?,Does his last name have more than 6 letters?,Does his first name end in a vowel?,Has he been an All-Star?,Has he been an All-Star 3+ times?,Has he won an NBA Championship?,Has he been All-NBA?,Has he won the MVP award?,Has he won Defensive Player of the Year?,Has he made an All-Defensive Team?
A.J. Lawson,1630639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,9.42,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
AJ Green,1631260,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,29.1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
AJ Johnson,1642358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,9.45,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Aaron Gordon,203932,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,27.92,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
Aaron Holiday,1628988,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,13.7,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Aaron Nesmith,1630174,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,29.67,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Aaron Wiggins,1630598,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,21.75,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
Ace Bailey,1642846,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,27.61,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
Adama Bal,1642380,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,30.16,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
Adem Bona,1641737,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,17.38,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Adou Thiero,1642876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,5.96,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Ajay Mitchell,1642349,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,25.84,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0
Al Horford,201143,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,21.54,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1
Alex Antetokounmpo,1630828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3.44,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Alex Caruso,1627936,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,18.22,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1
Alex Morales,1631457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5.9,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
Alex Sarr,1642259,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,27.18,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Alijah Martin,1642918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,6.33,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
